起点,终点,ori_x,ori_y,end_x,end_y,ridership
万年场街道,三圣街道,104.12474778803707,30.65330128909081,104.137199203032,30.57667039363897,1
万年场街道,二仙桥街道,104.12474778803707,30.65330128909081,104.13109687239829,30.684445028224047,6
万年场街道,五块石街道,104.12474778803707,30.65330128909081,104.059651892411,30.710886652968526,1
万年场街道,保和街道,104.12474778803707,30.65330128909081,104.14239485744424,30.636686225565303,1
万年场街道,光华街道,104.12474778803707,30.65330128909081,104.01593992429801,30.664644775526085,1
万年场街道,双桥子街道,104.12474778803707,30.65330128909081,104.10279938168559,30.652797482326527,2
万年场街道,双楠街道,104.12474778803707,30.65330128909081,104.02865896865515,30.649458723481544,1
万年场街道,合江亭街道,104.12474778803707,30.65330128909081,104.07926888803063,30.65222415771668,3
万年场街道,圣灯街道,104.12474778803707,30.65330128909081,104.14542488329225,30.680478343745712,8
万年场街道,大丰街道,104.12474778803707,30.65330128909081,104.05669390099663,30.76685804349305,4
万年场街道,太升路街道,104.12474778803707,30.65330128909081,104.07755155641463,30.670156189942755,3
万年场街道,安靖镇,104.12474778803707,30.65330128909081,104.01232404827407,30.770868297959915,1
万年场街道,少城街道,104.12474778803707,30.65330128909081,104.0526301486993,30.668690512829034,2
万年场街道,府南街道,104.12474778803707,30.65330128909081,104.02038254346557,30.678026221105164,2
万年场街道,府青路街道,104.12474778803707,30.65330128909081,104.10035267124348,30.692293927826466,5
万年场街道,建设路街道,104.12474778803707,30.65330128909081,104.10697562483489,30.67462887318019,8
万年场街道,抚琴街道,104.12474778803707,30.65330128909081,104.04374900767523,30.689325320109745,2
万年场街道,新华西路街,104.12474778803707,30.65330128909081,104.0608881713822,30.678169811235552,3
万年场街道,新鸿路街道,104.12474778803707,30.65330128909081,104.10631147787416,30.66166955600947,2
万年场街道,春熙路街道,104.12474778803707,30.65330128909081,104.07704974759851,30.661839708658544,1
万年场街道,望江路街道,104.12474778803707,30.65330128909081,104.07168516212226,30.635064980004078,2
万年场街道,桃蹊路街道,104.12474778803707,30.65330128909081,104.10824686426022,30.685481416810507,4
万年场街道,水井坊街道,104.12474778803707,30.65330128909081,104.08694280849765,30.649077025663395,1
万年场街道,汪家拐街道,104.12474778803707,30.65330128909081,104.05254456486169,30.657723310613694,5
万年场街道,沙河源街道,104.12474778803707,30.65330128909081,104.0505271566029,30.73442628180356,1
万年场街道,沙河街道,104.12474778803707,30.65330128909081,104.11720269294824,30.62986902495513,2
万年场街道,浆洗街街道,104.12474778803707,30.65330128909081,104.04667045680115,30.645641812828632,2
万年场街道,狮子山街道,104.12474778803707,30.65330128909081,104.1201115153985,30.61617064631393,1
万年场街道,猛追湾街道,104.12474778803707,30.65330128909081,104.09338649423138,30.664809688800787,4
万年场街道,玉林街道,104.12474778803707,30.65330128909081,104.06161167724152,30.637337386133247,2
万年场街道,盐市口街道,104.12474778803707,30.65330128909081,104.06854394913813,30.658999094459663,3
万年场街道,苏坡街道,104.12474778803707,30.65330128909081,103.97726807521968,30.682368433064255,1
万年场街道,茶店子街道,104.12474778803707,30.65330128909081,104.02024153112227,30.697019974934264,1
万年场街道,草市街街道,104.12474778803707,30.65330128909081,104.07077381074879,30.67480564890668,1
万年场街道,荷花池街道,104.12474778803707,30.65330128909081,104.06914504518326,30.692033790146894,5
万年场街道,莲新街道,104.12474778803707,30.65330128909081,104.09597856368342,30.640873730770085,1
万年场街道,营门口街道,104.12474778803707,30.65330128909081,104.03269016216231,30.70351417259711,2
