起点,终点,ori_x,ori_y,end_x,end_y,ridership
万年场街道,三河街道,104.12474778803707,30.65330128909081,104.15149724634394,30.76956322359214,3
万年场街道,东光街道,104.12474778803707,30.65330128909081,104.0937010533027,30.61922927889487,1
万年场街道,东坡街道,104.12474778803707,30.65330128909081,103.99579685281346,30.668022211089752,1
万年场街道,九里堤街道,104.12474778803707,30.65330128909081,104.04274989758682,30.71336015274653,3
万年场街道,书院街街道,104.12474778803707,30.65330128909081,104.0863687508597,30.6639549159326,5
万年场街道,二仙桥街道,104.12474778803707,30.65330128909081,104.13109687239829,30.684445028224047,5
万年场街道,人民北路街,104.12474778803707,30.65330128909081,104.06130032345499,30.683927523404815,5
万年场街道,保和街道,104.12474778803707,30.65330128909081,104.14239485744424,30.636686225565303,4
万年场街道,光华街道,104.12474778803707,30.65330128909081,104.01593992429801,30.664644775526085,1
万年场街道,十陵街道,104.12474778803707,30.65330128909081,104.18289534181507,30.648516042388525,1
万年场街道,双桥子街道,104.12474778803707,30.65330128909081,104.10279938168559,30.652797482326527,3
万年场街道,双水碾街道,104.12474778803707,30.65330128909081,104.07961944282927,30.707143301075934,4
万年场街道,合江亭街道,104.12474778803707,30.65330128909081,104.07926888803063,30.65222415771668,5
万年场街道,圣灯街道,104.12474778803707,30.65330128909081,104.14542488329225,30.680478343745712,12
万年场街道,大丰街道,104.12474778803707,30.65330128909081,104.05669390099663,30.76685804349305,1
万年场街道,大面街道,104.12474778803707,30.65330128909081,104.19323382722281,30.58864872364036,1
万年场街道,太升路街道,104.12474778803707,30.65330128909081,104.07755155641463,30.670156189942755,9
万年场街道,少城街道,104.12474778803707,30.65330128909081,104.0526301486993,30.668690512829034,1
万年场街道,府青路街道,104.12474778803707,30.65330128909081,104.10035267124348,30.692293927826466,5
万年场街道,建设路街道,104.12474778803707,30.65330128909081,104.10697562483489,30.67462887318019,24
万年场街道,抚琴街道,104.12474778803707,30.65330128909081,104.04374900767523,30.689325320109745,1
万年场街道,新华西路街,104.12474778803707,30.65330128909081,104.0608881713822,30.678169811235552,2
万年场街道,新鸿路街道,104.12474778803707,30.65330128909081,104.10631147787416,30.66166955600947,12
万年场街道,春熙路街道,104.12474778803707,30.65330128909081,104.07704974759851,30.661839708658544,4
万年场街道,桃蹊路街道,104.12474778803707,30.65330128909081,104.10824686426022,30.685481416810507,6
万年场街道,水井坊街道,104.12474778803707,30.65330128909081,104.08694280849765,30.649077025663395,1
万年场街道,沙河源街道,104.12474778803707,30.65330128909081,104.0505271566029,30.73442628180356,4
万年场街道,犀浦镇,104.12474778803707,30.65330128909081,103.96853991910166,30.757672802984413,1
万年场街道,猛追湾街道,104.12474778803707,30.65330128909081,104.09338649423138,30.664809688800787,9
万年场街道,盐市口街道,104.12474778803707,30.65330128909081,104.06854394913813,30.658999094459663,2
万年场街道,簇锦街道,104.12474778803707,30.65330128909081,103.99667070930668,30.62627087854145,2
万年场街道,肖家河街道,104.12474778803707,30.65330128909081,104.03845203470746,30.62813716196142,1
万年场街道,茶店子街道,104.12474778803707,30.65330128909081,104.02024153112227,30.697019974934264,1
万年场街道,草堂路街道,104.12474778803707,30.65330128909081,104.03369711876734,30.661678069224696,2
万年场街道,草市街街道,104.12474778803707,30.65330128909081,104.07077381074879,30.67480564890668,2
万年场街道,荷花池街道,104.12474778803707,30.65330128909081,104.06914504518326,30.692033790146894,1
万年场街道,营门口街道,104.12474778803707,30.65330128909081,104.03269016216231,30.70351417259711,2
万年场街道,跳蹬河街道,104.12474778803707,30.65330128909081,104.12276490519686,30.669026680129928,16
万年场街道,青龙街道,104.12474778803707,30.65330128909081,104.12065709938953,30.720884772946164,6
万年场街道,驷马桥街道,104.12474778803707,30.65330128909081,104.08421894300206,30.68468469689687,1
万年场街道,龙潭街道,104.12474778803707,30.65330128909081,104.17777027590506,30.70354757273816,7
三圣街道,九里堤街道,104.137199203032,30.57667039363897,104.04274989758682,30.71336015274653,1
三圣街道,书院街街道,104.137199203032,30.57667039363897,104.0863687508597,30.6639549159326,1
三圣街道,二仙桥街道,104.137199203032,30.57667039363897,104.13109687239829,30.684445028224047,1
三圣街道,人民北路街,104.137199203032,30.57667039363897,104.06130032345499,30.683927523404815,1
三圣街道,双桥子街道,104.137199203032,30.57667039363897,104.10279938168559,30.652797482326527,1
三圣街道,双水碾街道,104.137199203032,30.57667039363897,104.07961944282927,30.707143301075934,2
三圣街道,合江亭街道,104.137199203032,30.57667039363897,104.07926888803063,30.65222415771668,1
三圣街道,建设路街道,104.137199203032,30.57667039363897,104.10697562483489,30.67462887318019,1
三圣街道,抚琴街道,104.137199203032,30.57667039363897,104.04374900767523,30.689325320109745,1
三圣街道,桃蹊路街道,104.137199203032,30.57667039363897,104.10824686426022,30.685481416810507,2
三圣街道,猛追湾街道,104.137199203032,30.57667039363897,104.09338649423138,30.664809688800787,1
三圣街道,石羊场街道,104.137199203032,30.57667039363897,104.04207224362806,30.589080269961133,1
三圣街道,草市街街道,104.137199203032,30.57667039363897,104.07077381074879,30.67480564890668,1
三圣街道,跳蹬河街道,104.137199203032,30.57667039363897,104.12276490519686,30.669026680129928,1
三圣街道,驷马桥街道,104.137199203032,30.57667039363897,104.08421894300206,30.68468469689687,1
三河街道,九里堤街道,104.15149724634394,30.76956322359214,104.04274989758682,30.71336015274653,3
三河街道,五块石街道,104.15149724634394,30.76956322359214,104.059651892411,30.710886652968526,2
三河街道,双水碾街道,104.15149724634394,30.76956322359214,104.07961944282927,30.707143301075934,2
