起点id,终点id,序号,起点,终点,路径,长度/m
75724,75728,4,13,61,"13,1,f,e,f,e,d,61",2978
75729,75721,1,1,61,"1,f,e,d,61",1833
75729,75721,2,1,61,"1,f,e,c,61",2035
75729,75721,3,1,61,"1,2,a,b,61",2053
75729,75721,4,1,61,"1,f,e,f,e,d,61",2093
75726,75730,1,13,61,"13,1,f,e,d,61",2718
75726,75730,2,13,61,"13,1,f,e,c,61",2920
75726,75730,3,13,61,"13,1,2,a,b,61",2938
75726,75730,4,13,61,"13,1,f,e,f,e,d,61",2978
75730,75727,1,13,61,"13,1,f,e,d,61",2718
75730,75727,2,13,61,"13,1,f,e,c,61",2920
75730,75727,3,13,61,"13,1,2,a,b,61",2938
75730,75727,4,13,61,"13,1,f,e,f,e,d,61",2978
75735,75731,1,1,61,"1,f,e,d,61",1833
75735,75731,2,1,61,"1,f,e,c,61",2035
75735,75731,3,1,61,"1,2,a,b,61",2053
75735,75731,4,1,61,"1,f,e,f,e,d,61",2093
75743,75739,1,1,61,"1,f,e,d,61",1833
75743,75739,2,1,61,"1,f,e,c,61",2035
75743,75739,3,1,61,"1,2,a,b,61",2053
75743,75739,4,1,61,"1,f,e,f,e,d,61",2093
75756,75751,1,1,61,"1,f,e,d,61",1833
75756,75751,2,1,61,"1,f,e,c,61",2035
75756,75751,3,1,61,"1,2,a,b,61",2053
75756,75751,4,1,61,"1,f,e,f,e,d,61",2093
75754,75755,1,2,5,"2,a,b,5",1380
75754,75755,2,2,5,"2,a,b,61,b,5",2314
75754,75755,3,2,5,"2,a,b,61,6,5",2341
75754,75755,4,2,5,"2,a,b,a,b,5",2380
75759,75760,1,2,5,"2,a,b,5",1380
75759,75760,2,2,5,"2,a,b,61,b,5",2314
75759,75760,3,2,5,"2,a,b,61,6,5",2341
75759,75760,4,2,5,"2,a,b,a,b,5",2380
75763,75762,1,2,61,"2,a,b,61",1327
75763,75762,2,2,61,"2,f,e,d,61",1463
75763,75762,3,2,61,"2,a,d,61",1536
75763,75762,4,2,61,"2,f,e,c,61",1665
75764,75766,1,5,62,"5,6,62",779
75764,75766,2,5,62,"5,b,61,c,62",1777
75764,75766,3,5,62,"5,6,61,c,62",1804
75764,75766,4,5,62,"5,b,61,6,62",1912
75766,75765,1,61,62,"61,c,62",790
75766,75765,2,61,62,"61,6,62",925
75766,75765,3,61,62,"61,b,5,6,62",1766
75766,75765,4,61,62,"61,6,5,6,62",1793
2372,2371,1,2,5,"2,a,b,5",1380
2372,2371,2,2,5,"2,a,b,61,b,5",2314
2372,2371,3,2,5,"2,a,b,61,6,5",2341
2372,2371,4,2,5,"2,a,b,a,b,5",2380
2371,2373,1,2,62,"2,f,e,c,62",2055
2371,2373,2,2,62,"2,a,b,61,c,62",2117
2371,2373,3,2,62,"2,a,b,5,6,62",2159
2371,2373,4,2,62,"2,a,b,61,6,62",2252
