起点id,终点id,序号,起点,终点,路径,长度/m
19382,19378,3,2,5,"2,a,b,61,6,5",2341
19382,19378,4,2,5,"2,a,b,a,b,5",2380
19379,19383,1,2,5,"2,a,b,5",1380
19379,19383,2,2,5,"2,a,b,61,b,5",2314
19379,19383,3,2,5,"2,a,b,61,6,5",2341
19379,19383,4,2,5,"2,a,b,a,b,5",2380
19384,19380,1,2,5,"2,a,b,5",1380
19384,19380,2,2,5,"2,a,b,61,b,5",2314
19384,19380,3,2,5,"2,a,b,61,6,5",2341
19384,19380,4,2,5,"2,a,b,a,b,5",2380
19381,19385,1,2,5,"2,a,b,5",1380
19381,19385,2,2,5,"2,a,b,61,b,5",2314
19381,19385,3,2,5,"2,a,b,61,6,5",2341
19381,19385,4,2,5,"2,a,b,a,b,5",2380
19416,19415,1,5,62,"5,6,62",779
19416,19415,2,5,62,"5,b,61,c,62",1777
19416,19415,3,5,62,"5,6,61,c,62",1804
19416,19415,4,5,62,"5,b,61,6,62",1912
19419,19421,1,13,62,"13,1,f,e,c,62",3310
19419,19421,2,13,62,"13,1,f,e,d,61,c,62",3508
19419,19421,3,13,62,"13,1,f,e,f,e,c,62",3570
19419,19421,4,13,62,"13,1,f,e,d,61,6,62",3643
19424,19423,1,61,62,"61,c,62",790
19424,19423,2,61,62,"61,6,62",925
19424,19423,3,61,62,"61,b,5,6,62",1766
19424,19423,4,61,62,"61,6,5,6,62",1793
748,747,1,1,62,"1,f,e,c,62",2425
748,747,2,1,62,"1,f,e,d,61,c,62",2623
748,747,3,1,62,"1,f,e,f,e,c,62",2685
748,747,4,1,62,"1,f,e,d,61,6,62",2758
19426,19425,1,2,5,"2,a,b,5",1380
19426,19425,2,2,5,"2,a,b,61,b,5",2314
19426,19425,3,2,5,"2,a,b,61,6,5",2341
19426,19425,4,2,5,"2,a,b,a,b,5",2380
19429,19432,1,2,61,"2,a,b,61",1327
19429,19432,2,2,61,"2,f,e,d,61",1463
19429,19432,3,2,61,"2,a,d,61",1536
19429,19432,4,2,61,"2,f,e,c,61",1665
19438,19440,1,5,62,"5,6,62",779
19438,19440,2,5,62,"5,b,61,c,62",1777
19438,19440,3,5,62,"5,6,61,c,62",1804
19438,19440,4,5,62,"5,b,61,6,62",1912
19440,19439,1,5,62,"5,6,62",779
19440,19439,2,5,62,"5,b,61,c,62",1777
19440,19439,3,5,62,"5,6,61,c,62",1804
19440,19439,4,5,62,"5,b,61,6,62",1912
19443,19445,1,13,2,"13,1,2",1611
19443,19445,2,13,2,"13,1,f,2",2365
19443,19445,3,13,2,"13,1,f,e,f,2",2625
19443,19445,4,13,2,"13,1,f,e,f,e,f,2",2885
19460,19459,1,5,61,"5,b,61",987
19460,19459,2,5,61,"5,6,61",1014
19460,19459,3,5,61,"5,6,62,c,61",1569
19460,19459,4,5,61,"5,6,62,6,61",1704
19459,19461,1,5,61,"5,b,61",987
19459,19461,2,5,61,"5,6,61",1014
19459,19461,3,5,61,"5,6,62,c,61",1569
19459,19461,4,5,61,"5,6,62,6,61",1704
19466,19463,1,1,62,"1,f,e,c,62",2425
19466,19463,2,1,62,"1,f,e,d,61,c,62",2623
19466,19463,3,1,62,"1,f,e,f,e,c,62",2685
19466,19463,4,1,62,"1,f,e,d,61,6,62",2758
19481,19476,1,2,61,"2,a,b,61",1327
19481,19476,2,2,61,"2,f,e,d,61",1463
19481,19476,3,2,61,"2,a,d,61",1536
19481,19476,4,2,61,"2,f,e,c,61",1665
19478,19482,1,2,61,"2,a,b,61",1327
19478,19482,2,2,61,"2,f,e,d,61",1463
19478,19482,3,2,61,"2,a,d,61",1536
19478,19482,4,2,61,"2,f,e,c,61",1665
19495,19493,1,2,5,"2,a,b,5",1380
19495,19493,2,2,5,"2,a,b,61,b,5",2314
19495,19493,3,2,5,"2,a,b,61,6,5",2341
19495,19493,4,2,5,"2,a,b,a,b,5",2380
19497,19500,1,2,61,"2,a,b,61",1327
19497,19500,2,2,61,"2,f,e,d,61",1463
19497,19500,3,2,61,"2,a,d,61",1536
19497,19500,4,2,61,"2,f,e,c,61",1665
19500,19498,1,2,61,"2,a,b,61",1327
19500,19498,2,2,61,"2,f,e,d,61",1463
19500,19498,3,2,61,"2,a,d,61",1536
19500,19498,4,2,61,"2,f,e,c,61",1665
19496,19501,1,1,61,"1,f,e,d,61",1833
19496,19501,2,1,61,"1,f,e,c,61",2035
19496,19501,3,1,61,"1,2,a,b,61",2053
19496,19501,4,1,61,"1,f,e,f,e,d,61",2093
19501,19499,1,2,61,"2,a,b,61",1327
19501,19499,2,2,61,"2,f,e,d,61",1463
19501,19499,3,2,61,"2,a,d,61",1536
19501,19499,4,2,61,"2,f,e,c,61",1665
19503,19502,1,5,62,"5,6,62",779
19503,19502,2,5,62,"5,b,61,c,62",1777
19503,19502,3,5,62,"5,6,61,c,62",1804
19503,19502,4,5,62,"5,b,61,6,62",1912
19512,19515,1,1,61,"1,f,e,d,61",1833
19512,19515,2,1,61,"1,f,e,c,61",2035
19512,19515,3,1,61,"1,2,a,b,61",2053
19512,19515,4,1,61,"1,f,e,f,e,d,61",2093
19531,19532,1,1,61,"1,f,e,d,61",1833
19531,19532,2,1,61,"1,f,e,c,61",2035
19531,19532,3,1,61,"1,2,a,b,61",2053
19531,19532,4,1,61,"1,f,e,f,e,d,61",2093
19536,19535,1,5,61,"5,b,61",987
19536,19535,2,5,61,"5,6,61",1014
19536,19535,3,5,61,"5,6,62,c,61",1569
19536,19535,4,5,61,"5,6,62,6,61",1704
19552,19553,1,5,61,"5,b,61",987
19552,19553,2,5,61,"5,6,61",1014
19552,19553,3,5,61,"5,6,62,c,61",1569
19552,19553,4,5,61,"5,6,62,6,61",1704
19565,19567,1,1,62,"1,f,e,c,62",2425
19565,19567,2,1,62,"1,f,e,d,61,c,62",2623
19565,19567,3,1,62,"1,f,e,f,e,c,62",2685
19565,19567,4,1,62,"1,f,e,d,61,6,62",2758
19572,19574,1,2,5,"2,a,b,5",1380
19572,19574,2,2,5,"2,a,b,61,b,5",2314
19572,19574,3,2,5,"2,a,b,61,6,5",2341
19572,19574,4,2,5,"2,a,b,a,b,5",2380
19575,19573,1,2,5,"2,a,b,5",1380
19575,19573,2,2,5,"2,a,b,61,b,5",2314
19575,19573,3,2,5,"2,a,b,61,6,5",2341
19575,19573,4,2,5,"2,a,b,a,b,5",2380
19577,19582,1,2,61,"2,a,b,61",1327
19577,19582,2,2,61,"2,f,e,d,61",1463
19577,19582,3,2,61,"2,a,d,61",1536
19577,19582,4,2,61,"2,f,e,c,61",1665
19582,19580,1,5,61,"5,b,61",987
19582,19580,2,5,61,"5,6,61",1014
19582,19580,3,5,61,"5,6,62,c,61",1569
19582,19580,4,5,61,"5,6,62,6,61",1704
19585,19583,1,1,61,"1,f,e,d,61",1833
19585,19583,2,1,61,"1,f,e,c,61",2035
19585,19583,3,1,61,"1,2,a,b,61",2053
19585,19583,4,1,61,"1,f,e,f,e,d,61",2093
19588,19587,1,2,5,"2,a,b,5",1380
19588,19587,2,2,5,"2,a,b,61,b,5",2314
19588,19587,3,2,5,"2,a,b,61,6,5",2341
19588,19587,4,2,5,"2,a,b,a,b,5",2380
19596,19594,1,2,5,"2,a,b,5",1380
19596,19594,2,2,5,"2,a,b,61,b,5",2314
19596,19594,3,2,5,"2,a,b,61,6,5",2341
19596,19594,4,2,5,"2,a,b,a,b,5",2380
19593,19599,1,1,61,"1,f,e,d,61",1833
19593,19599,2,1,61,"1,f,e,c,61",2035
19593,19599,3,1,61,"1,2,a,b,61",2053
19593,19599,4,1,61,"1,f,e,f,e,d,61",2093
19605,19600,1,1,61,"1,f,e,d,61",1833
19605,19600,2,1,61,"1,f,e,c,61",2035
19605,19600,3,1,61,"1,2,a,b,61",2053
19605,19600,4,1,61,"1,f,e,f,e,d,61",2093
19602,19606,1,1,61,"1,f,e,d,61",1833
19602,19606,2,1,61,"1,f,e,c,61",2035
19602,19606,3,1,61,"1,2,a,b,61",2053
19602,19606,4,1,61,"1,f,e,f,e,d,61",2093
19609,19608,1,5,62,"5,6,62",779
19609,19608,2,5,62,"5,b,61,c,62",1777
19609,19608,3,5,62,"5,6,61,c,62",1804
19609,19608,4,5,62,"5,b,61,6,62",1912
19633,19621,1,1,62,"1,f,e,c,62",2425
19633,19621,2,1,62,"1,f,e,d,61,c,62",2623
19633,19621,3,1,62,"1,f,e,f,e,c,62",2685
19633,19621,4,1,62,"1,f,e,d,61,6,62",2758
19638,19637,1,61,62,"61,c,62",790
19638,19637,2,61,62,"61,6,62",925
19638,19637,3,61,62,"61,b,5,6,62",1766
19638,19637,4,61,62,"61,6,5,6,62",1793
19639,19635,1,5,62,"5,6,62",779
19639,19635,2,5,62,"5,b,61,c,62",1777
19639,19635,3,5,62,"5,6,61,c,62",1804
19639,19635,4,5,62,"5,b,61,6,62",1912
19635,19640,1,5,62,"5,6,62",779
19635,19640,2,5,62,"5,b,61,c,62",1777
19635,19640,3,5,62,"5,6,61,c,62",1804
19635,19640,4,5,62,"5,b,61,6,62",1912
19640,19636,1,5,62,"5,6,62",779
19640,19636,2,5,62,"5,b,61,c,62",1777
19640,19636,3,5,62,"5,6,61,c,62",1804
19640,19636,4,5,62,"5,b,61,6,62",1912
19646,19643,1,2,61,"2,a,b,61",1327
19646,19643,2,2,61,"2,f,e,d,61",1463
19646,19643,3,2,61,"2,a,d,61",1536
19646,19643,4,2,61,"2,f,e,c,61",1665
19652,19648,1,2,5,"2,a,b,5",1380
19652,19648,2,2,5,"2,a,b,61,b,5",2314
19652,19648,3,2,5,"2,a,b,61,6,5",2341
19652,19648,4,2,5,"2,a,b,a,b,5",2380
19649,19653,1,2,5,"2,a,b,5",1380
19649,19653,2,2,5,"2,a,b,61,b,5",2314
19649,19653,3,2,5,"2,a,b,61,6,5",2341
19649,19653,4,2,5,"2,a,b,a,b,5",2380
19655,19656,1,2,5,"2,a,b,5",1380
19655,19656,2,2,5,"2,a,b,61,b,5",2314
19655,19656,3,2,5,"2,a,b,61,6,5",2341
19655,19656,4,2,5,"2,a,b,a,b,5",2380
19661,19657,1,12,2,"12,1,2",1477
19661,19657,2,12,2,"12,1,f,2",2231
19661,19657,3,12,2,"12,1,f,e,f,2",2491
19661,19657,4,12,2,"12,1,f,e,f,e,f,2",2751
19657,19658,1,2,5,"2,a,b,5",1380
19657,19658,2,2,5,"2,a,b,61,b,5",2314
19657,19658,3,2,5,"2,a,b,61,6,5",2341
19657,19658,4,2,5,"2,a,b,a,b,5",2380
19673,19674,1,2,5,"2,a,b,5",1380
19673,19674,2,2,5,"2,a,b,61,b,5",2314
19673,19674,3,2,5,"2,a,b,61,6,5",2341
19673,19674,4,2,5,"2,a,b,a,b,5",2380
19680,19683,1,61,62,"61,c,62",790
19680,19683,2,61,62,"61,6,62",925
19680,19683,3,61,62,"61,b,5,6,62",1766
19680,19683,4,61,62,"61,6,5,6,62",1793
19683,19681,1,61,62,"61,c,62",790
19683,19681,2,61,62,"61,6,62",925
19683,19681,3,61,62,"61,b,5,6,62",1766
19683,19681,4,61,62,"61,6,5,6,62",1793
19675,19677,1,2,5,"2,a,b,5",1380
19675,19677,2,2,5,"2,a,b,61,b,5",2314
19675,19677,3,2,5,"2,a,b,61,6,5",2341
19675,19677,4,2,5,"2,a,b,a,b,5",2380
19678,19676,1,2,5,"2,a,b,5",1380
19678,19676,2,2,5,"2,a,b,61,b,5",2314
19678,19676,3,2,5,"2,a,b,61,6,5",2341
19678,19676,4,2,5,"2,a,b,a,b,5",2380
19679,19682,1,5,61,"5,b,61",987
19679,19682,2,5,61,"5,6,61",1014
19679,19682,3,5,61,"5,6,62,c,61",1569
19679,19682,4,5,61,"5,6,62,6,61",1704
19686,19684,1,2,5,"2,a,b,5",1380
19686,19684,2,2,5,"2,a,b,61,b,5",2314
19686,19684,3,2,5,"2,a,b,61,6,5",2341
19686,19684,4,2,5,"2,a,b,a,b,5",2380
19687,19689,1,2,5,"2,a,b,5",1380
19687,19689,2,2,5,"2,a,b,61,b,5",2314
19687,19689,3,2,5,"2,a,b,61,6,5",2341
19687,19689,4,2,5,"2,a,b,a,b,5",2380
19692,19696,1,12,62,"12,1,f,e,c,62",3176
19692,19696,2,12,62,"12,1,f,e,d,61,c,62",3374
19692,19696,3,12,62,"12,1,f,e,f,e,c,62",3436
19692,19696,4,12,62,"12,1,f,e,d,61,6,62",3509
19703,19707,1,2,5,"2,a,b,5",1380
19703,19707,2,2,5,"2,a,b,61,b,5",2314
19703,19707,3,2,5,"2,a,b,61,6,5",2341
19703,19707,4,2,5,"2,a,b,a,b,5",2380
19738,19733,1,5,62,"5,6,62",779
19738,19733,2,5,62,"5,b,61,c,62",1777
19738,19733,3,5,62,"5,6,61,c,62",1804
19738,19733,4,5,62,"5,b,61,6,62",1912
19730,19736,1,2,61,"2,a,b,61",1327
19730,19736,2,2,61,"2,f,e,d,61",1463
19730,19736,3,2,61,"2,a,d,61",1536
19730,19736,4,2,61,"2,f,e,c,61",1665
19736,19734,1,5,61,"5,b,61",987
19736,19734,2,5,61,"5,6,61",1014
19736,19734,3,5,61,"5,6,62,c,61",1569
19736,19734,4,5,61,"5,6,62,6,61",1704
19735,19737,1,5,61,"5,b,61",987
19735,19737,2,5,61,"5,6,61",1014
19735,19737,3,5,61,"5,6,62,c,61",1569
19735,19737,4,5,61,"5,6,62,6,61",1704
19737,19731,1,2,61,"2,a,b,61",1327
19737,19731,2,2,61,"2,f,e,d,61",1463
19737,19731,3,2,61,"2,a,d,61",1536
19737,19731,4,2,61,"2,f,e,c,61",1665
19764,19760,1,2,5,"2,a,b,5",1380
19764,19760,2,2,5,"2,a,b,61,b,5",2314
19764,19760,3,2,5,"2,a,b,61,6,5",2341
19764,19760,4,2,5,"2,a,b,a,b,5",2380
19756,19768,1,1,61,"1,f,e,d,61",1833
19756,19768,2,1,61,"1,f,e,c,61",2035
19756,19768,3,1,61,"1,2,a,b,61",2053
19756,19768,4,1,61,"1,f,e,f,e,d,61",2093
19768,19765,1,5,61,"5,b,61",987
19768,19765,2,5,61,"5,6,61",1014
19768,19765,3,5,61,"5,6,62,c,61",1569
19768,19765,4,5,61,"5,6,62,6,61",1704
19765,19769,1,5,61,"5,b,61",987
19765,19769,2,5,61,"5,6,61",1014
19765,19769,3,5,61,"5,6,62,c,61",1569
19765,19769,4,5,61,"5,6,62,6,61",1704
19769,19766,1,5,61,"5,b,61",987
19769,19766,2,5,61,"5,6,61",1014
19769,19766,3,5,61,"5,6,62,c,61",1569
19769,19766,4,5,61,"5,6,62,6,61",1704
19762,19767,1,2,5,"2,a,b,5",1380
19762,19767,2,2,5,"2,a,b,61,b,5",2314
19762,19767,3,2,5,"2,a,b,61,6,5",2341
19762,19767,4,2,5,"2,a,b,a,b,5",2380
19783,19791,1,13,2,"13,1,2",1611
19783,19791,2,13,2,"13,1,f,2",2365
19783,19791,3,13,2,"13,1,f,e,f,2",2625
19783,19791,4,13,2,"13,1,f,e,f,e,f,2",2885
19786,19789,1,2,5,"2,a,b,5",1380
19786,19789,2,2,5,"2,a,b,61,b,5",2314
19786,19789,3,2,5,"2,a,b,61,6,5",2341
19786,19789,4,2,5,"2,a,b,a,b,5",2380
19790,19787,1,2,5,"2,a,b,5",1380
19790,19787,2,2,5,"2,a,b,61,b,5",2314
19790,19787,3,2,5,"2,a,b,61,6,5",2341
19790,19787,4,2,5,"2,a,b,a,b,5",2380
19794,19792,1,2,5,"2,a,b,5",1380
19794,19792,2,2,5,"2,a,b,61,b,5",2314
19794,19792,3,2,5,"2,a,b,61,6,5",2341
19794,19792,4,2,5,"2,a,b,a,b,5",2380
19805,19797,1,1,61,"1,f,e,d,61",1833
19805,19797,2,1,61,"1,f,e,c,61",2035
19805,19797,3,1,61,"1,2,a,b,61",2053
19805,19797,4,1,61,"1,f,e,f,e,d,61",2093
19810,19806,1,1,61,"1,f,e,d,61",1833
19810,19806,2,1,61,"1,f,e,c,61",2035
19810,19806,3,1,61,"1,2,a,b,61",2053
19810,19806,4,1,61,"1,f,e,f,e,d,61",2093
19819,19815,1,61,62,"61,c,62",790
19819,19815,2,61,62,"61,6,62",925
19819,19815,3,61,62,"61,b,5,6,62",1766
19819,19815,4,61,62,"61,6,5,6,62",1793
19815,19811,1,1,61,"1,f,e,d,61",1833
19815,19811,2,1,61,"1,f,e,c,61",2035
19815,19811,3,1,61,"1,2,a,b,61",2053
19815,19811,4,1,61,"1,f,e,f,e,d,61",2093
19812,19816,1,2,61,"2,a,b,61",1327
19812,19816,2,2,61,"2,f,e,d,61",1463
19812,19816,3,2,61,"2,a,d,61",1536
19812,19816,4,2,61,"2,f,e,c,61",1665
19820,19813,1,5,62,"5,6,62",779
19820,19813,2,5,62,"5,b,61,c,62",1777
19820,19813,3,5,62,"5,6,61,c,62",1804
19820,19813,4,5,62,"5,b,61,6,62",1912
19813,19817,1,5,61,"5,b,61",987
19813,19817,2,5,61,"5,6,61",1014
19813,19817,3,5,61,"5,6,62,c,61",1569
19813,19817,4,5,61,"5,6,62,6,61",1704
19827,19828,1,61,62,"61,c,62",790
19827,19828,2,61,62,"61,6,62",925
19827,19828,3,61,62,"61,b,5,6,62",1766
19827,19828,4,61,62,"61,6,5,6,62",1793
19830,19832,1,1,61,"1,f,e,d,61",1833
19830,19832,2,1,61,"1,f,e,c,61",2035
19830,19832,3,1,61,"1,2,a,b,61",2053
19830,19832,4,1,61,"1,f,e,f,e,d,61",2093
19849,19847,1,61,62,"61,c,62",790
19849,19847,2,61,62,"61,6,62",925
19849,19847,3,61,62,"61,b,5,6,62",1766
19849,19847,4,61,62,"61,6,5,6,62",1793
19848,19845,1,1,61,"1,f,e,d,61",1833
19848,19845,2,1,61,"1,f,e,c,61",2035
19848,19845,3,1,61,"1,2,a,b,61",2053
19848,19845,4,1,61,"1,f,e,f,e,d,61",2093
19857,19860,1,1,61,"1,f,e,d,61",1833
19857,19860,2,1,61,"1,f,e,c,61",2035
19857,19860,3,1,61,"1,2,a,b,61",2053
19857,19860,4,1,61,"1,f,e,f,e,d,61",2093
19866,19867,1,12,5,"12,1,2,a,b,5",2857
19866,19867,2,12,5,"12,1,f,e,d,61,b,5",3571
19866,19867,3,12,5,"12,1,2,a,2,a,b,5",3577
19866,19867,4,12,5,"12,1,f,e,d,a,b,5",3580
19881,19884,1,2,5,"2,a,b,5",1380
19881,19884,2,2,5,"2,a,b,61,b,5",2314
19881,19884,3,2,5,"2,a,b,61,6,5",2341
19881,19884,4,2,5,"2,a,b,a,b,5",2380
19885,19882,1,2,5,"2,a,b,5",1380
19885,19882,2,2,5,"2,a,b,61,b,5",2314
19885,19882,3,2,5,"2,a,b,61,6,5",2341
19885,19882,4,2,5,"2,a,b,a,b,5",2380
19900,19898,1,13,61,"13,1,f,e,d,61",2718
19900,19898,2,13,61,"13,1,f,e,c,61",2920
19900,19898,3,13,61,"13,1,2,a,b,61",2938
19900,19898,4,13,61,"13,1,f,e,f,e,d,61",2978
19919,19917,1,2,5,"2,a,b,5",1380
19919,19917,2,2,5,"2,a,b,61,b,5",2314
19919,19917,3,2,5,"2,a,b,61,6,5",2341
19919,19917,4,2,5,"2,a,b,a,b,5",2380
19930,19929,1,61,62,"61,c,62",790
19930,19929,2,61,62,"61,6,62",925
19930,19929,3,61,62,"61,b,5,6,62",1766
19930,19929,4,61,62,"61,6,5,6,62",1793
19929,19931,1,61,62,"61,c,62",790
19929,19931,2,61,62,"61,6,62",925
19929,19931,3,61,62,"61,b,5,6,62",1766
19929,19931,4,61,62,"61,6,5,6,62",1793
19936,19946,1,1,61,"1,f,e,d,61",1833
19936,19946,2,1,61,"1,f,e,c,61",2035
19936,19946,3,1,61,"1,2,a,b,61",2053
19936,19946,4,1,61,"1,f,e,f,e,d,61",2093
19946,19937,1,1,61,"1,f,e,d,61",1833
19946,19937,2,1,61,"1,f,e,c,61",2035
19946,19937,3,1,61,"1,2,a,b,61",2053
19946,19937,4,1,61,"1,f,e,f,e,d,61",2093
19939,19947,1,1,61,"1,f,e,d,61",1833
19939,19947,2,1,61,"1,f,e,c,61",2035
19939,19947,3,1,61,"1,2,a,b,61",2053
19939,19947,4,1,61,"1,f,e,f,e,d,61",2093
19948,19940,1,1,61,"1,f,e,d,61",1833
19948,19940,2,1,61,"1,f,e,c,61",2035
19948,19940,3,1,61,"1,2,a,b,61",2053
19948,19940,4,1,61,"1,f,e,f,e,d,61",2093
19957,19955,1,61,62,"61,c,62",790
19957,19955,2,61,62,"61,6,62",925
19957,19955,3,61,62,"61,b,5,6,62",1766
19957,19955,4,61,62,"61,6,5,6,62",1793
19955,19954,1,5,61,"5,b,61",987
19955,19954,2,5,61,"5,6,61",1014
19955,19954,3,5,61,"5,6,62,c,61",1569
19955,19954,4,5,61,"5,6,62,6,61",1704
19958,19956,1,61,62,"61,c,62",790
19958,19956,2,61,62,"61,6,62",925
19958,19956,3,61,62,"61,b,5,6,62",1766
19958,19956,4,61,62,"61,6,5,6,62",1793
19956,19959,1,61,62,"61,c,62",790
19956,19959,2,61,62,"61,6,62",925
19956,19959,3,61,62,"61,b,5,6,62",1766
19956,19959,4,61,62,"61,6,5,6,62",1793
19968,19970,1,2,5,"2,a,b,5",1380
19968,19970,2,2,5,"2,a,b,61,b,5",2314
19968,19970,3,2,5,"2,a,b,61,6,5",2341
19968,19970,4,2,5,"2,a,b,a,b,5",2380
19972,19969,1,2,61,"2,a,b,61",1327
19972,19969,2,2,61,"2,f,e,d,61",1463
19972,19969,3,2,61,"2,a,d,61",1536
19972,19969,4,2,61,"2,f,e,c,61",1665
19977,19978,1,2,61,"2,a,b,61",1327
19977,19978,2,2,61,"2,f,e,d,61",1463
19977,19978,3,2,61,"2,a,d,61",1536
19977,19978,4,2,61,"2,f,e,c,61",1665
19986,19988,1,2,5,"2,a,b,5",1380
19986,19988,2,2,5,"2,a,b,61,b,5",2314
19986,19988,3,2,5,"2,a,b,61,6,5",2341
19986,19988,4,2,5,"2,a,b,a,b,5",2380
19996,19993,1,2,5,"2,a,b,5",1380
19996,19993,2,2,5,"2,a,b,61,b,5",2314
19996,19993,3,2,5,"2,a,b,61,6,5",2341
19996,19993,4,2,5,"2,a,b,a,b,5",2380
19997,20000,1,2,5,"2,a,b,5",1380
19997,20000,2,2,5,"2,a,b,61,b,5",2314
19997,20000,3,2,5,"2,a,b,61,6,5",2341
19997,20000,4,2,5,"2,a,b,a,b,5",2380
20005,20006,1,2,61,"2,a,b,61",1327
20005,20006,2,2,61,"2,f,e,d,61",1463
20005,20006,3,2,61,"2,a,d,61",1536
20005,20006,4,2,61,"2,f,e,c,61",1665
20031,20028,1,13,2,"13,1,2",1611
20031,20028,2,13,2,"13,1,f,2",2365
20031,20028,3,13,2,"13,1,f,e,f,2",2625
20031,20028,4,13,2,"13,1,f,e,f,e,f,2",2885
20040,20036,1,61,62,"61,c,62",790
20040,20036,2,61,62,"61,6,62",925
20040,20036,3,61,62,"61,b,5,6,62",1766
20040,20036,4,61,62,"61,6,5,6,62",1793
20037,20041,1,61,62,"61,c,62",790
20037,20041,2,61,62,"61,6,62",925
20037,20041,3,61,62,"61,b,5,6,62",1766
20037,20041,4,61,62,"61,6,5,6,62",1793
20043,20038,1,61,62,"61,c,62",790
20043,20038,2,61,62,"61,6,62",925
20043,20038,3,61,62,"61,b,5,6,62",1766
20043,20038,4,61,62,"61,6,5,6,62",1793
20039,20044,1,61,62,"61,c,62",790
20039,20044,2,61,62,"61,6,62",925
20039,20044,3,61,62,"61,b,5,6,62",1766
20039,20044,4,61,62,"61,6,5,6,62",1793
20045,20035,1,5,62,"5,6,62",779
20045,20035,2,5,62,"5,b,61,c,62",1777
20045,20035,3,5,62,"5,6,61,c,62",1804
20045,20035,4,5,62,"5,b,61,6,62",1912
20046,20047,1,13,61,"13,1,f,e,d,61",2718
20046,20047,2,13,61,"13,1,f,e,c,61",2920
20046,20047,3,13,61,"13,1,2,a,b,61",2938
20046,20047,4,13,61,"13,1,f,e,f,e,d,61",2978
20047,20048,1,61,62,"61,c,62",790
20047,20048,2,61,62,"61,6,62",925
20047,20048,3,61,62,"61,b,5,6,62",1766
20047,20048,4,61,62,"61,6,5,6,62",1793
774,776,1,5,61,"5,b,61",987
774,776,2,5,61,"5,6,61",1014
774,776,3,5,61,"5,6,62,c,61",1569
774,776,4,5,61,"5,6,62,6,61",1704
776,771,1,1,61,"1,f,e,d,61",1833
776,771,2,1,61,"1,f,e,c,61",2035
776,771,3,1,61,"1,2,a,b,61",2053
776,771,4,1,61,"1,f,e,f,e,d,61",2093
775,777,1,5,61,"5,b,61",987
775,777,2,5,61,"5,6,61",1014
775,777,3,5,61,"5,6,62,c,61",1569
775,777,4,5,61,"5,6,62,6,61",1704
780,782,1,61,62,"61,c,62",790
780,782,2,61,62,"61,6,62",925
780,782,3,61,62,"61,b,5,6,62",1766
780,782,4,61,62,"61,6,5,6,62",1793
781,783,1,61,62,"61,c,62",790
781,783,2,61,62,"61,6,62",925
781,783,3,61,62,"61,b,5,6,62",1766
781,783,4,61,62,"61,6,5,6,62",1793
779,784,1,5,62,"5,6,62",779
779,784,2,5,62,"5,b,61,c,62",1777
779,784,3,5,62,"5,6,61,c,62",1804
779,784,4,5,62,"5,b,61,6,62",1912
787,790,1,61,62,"61,c,62",790
787,790,2,61,62,"61,6,62",925
787,790,3,61,62,"61,b,5,6,62",1766
787,790,4,61,62,"61,6,5,6,62",1793
791,785,1,5,62,"5,6,62",779
791,785,2,5,62,"5,b,61,c,62",1777
791,785,3,5,62,"5,6,61,c,62",1804
791,785,4,5,62,"5,b,61,6,62",1912
786,788,1,5,61,"5,b,61",987
786,788,2,5,61,"5,6,61",1014
786,788,3,5,61,"5,6,62,c,61",1569
786,788,4,5,61,"5,6,62,6,61",1704
789,792,1,61,62,"61,c,62",790
789,792,2,61,62,"61,6,62",925
789,792,3,61,62,"61,b,5,6,62",1766
789,792,4,61,62,"61,6,5,6,62",1793
20075,20079,1,5,61,"5,b,61",987
20075,20079,2,5,61,"5,6,61",1014
20075,20079,3,5,61,"5,6,62,c,61",1569
20075,20079,4,5,61,"5,6,62,6,61",1704
20079,20071,1,1,61,"1,f,e,d,61",1833
20079,20071,2,1,61,"1,f,e,c,61",2035
20079,20071,3,1,61,"1,2,a,b,61",2053
20079,20071,4,1,61,"1,f,e,f,e,d,61",2093
794,795,1,61,62,"61,c,62",790
794,795,2,61,62,"61,6,62",925
794,795,3,61,62,"61,b,5,6,62",1766
794,795,4,61,62,"61,6,5,6,62",1793
20080,20083,1,2,5,"2,a,b,5",1380
20080,20083,2,2,5,"2,a,b,61,b,5",2314
20080,20083,3,2,5,"2,a,b,61,6,5",2341
20080,20083,4,2,5,"2,a,b,a,b,5",2380
20084,20081,1,2,61,"2,a,b,61",1327
20084,20081,2,2,61,"2,f,e,d,61",1463
20084,20081,3,2,61,"2,a,d,61",1536
20084,20081,4,2,61,"2,f,e,c,61",1665
20100,20095,1,1,61,"1,f,e,d,61",1833
20100,20095,2,1,61,"1,f,e,c,61",2035
20100,20095,3,1,61,"1,2,a,b,61",2053
20100,20095,4,1,61,"1,f,e,f,e,d,61",2093
20118,20122,1,1,61,"1,f,e,d,61",1833
20118,20122,2,1,61,"1,f,e,c,61",2035
20118,20122,3,1,61,"1,2,a,b,61",2053
20118,20122,4,1,61,"1,f,e,f,e,d,61",2093
20122,20121,1,2,61,"2,a,b,61",1327
20122,20121,2,2,61,"2,f,e,d,61",1463
20122,20121,3,2,61,"2,a,d,61",1536
20122,20121,4,2,61,"2,f,e,c,61",1665
20131,20129,1,2,5,"2,a,b,5",1380
20131,20129,2,2,5,"2,a,b,61,b,5",2314
20131,20129,3,2,5,"2,a,b,61,6,5",2341
20131,20129,4,2,5,"2,a,b,a,b,5",2380
